pinned,unpinned,empty
378,29,0
322,85,0
281,126,0
262,145,0
230,177,0
218,190,0
211,197,0
203,205,0
202,206,0
188,219,0
183,225,0
181,227,0
178,230,0
168,240,0
157,250,0
155,252,0
152,256,0
151,257,0
151,256,0
150,258,0
148,260,0
143,265,0
130,278,0
126,177,104
122,0,285
122,0,286
119,0,289
108,0,300
104,0,304
103,0,304
102,0,306
99,0,309
90,0,318
87,0,321
82,0,325
81,0,326
77,0,330
71,0,337
70,0,337
70,32,306
68,0,340
65,0,343
65,0,343
63,0,345
61,0,346
55,0,353
55,0,352
53,0,354
53,0,355
50,0,357
50,0,358
47,0,361
46,0,362
46,0,361
44,0,364
43,0,364
43,0,364
43,0,364
37,0,370
36,0,371
28,0,380
24,0,384
23,0,384
22,0,386
21,0,387
17,0,391
14,0,394
13,0,395
11,0,396
8,0,400
